PassengerId,Survived
1,0
2,1
3,0
4,1
5,0
6,0
7,1
8,0
9,0
10,1
11,0
12,1
13,0
14,0
15,0
16,1
17,0
18,1
19,0
20,0
21,1
22,1
23,0
24,1
25,0
26,1
27,0
28,1
29,0
30,0
31,1
32,1
33,0
34,1
35,1
36,1
37,0
38,0
39,0
40,0
41,1
42,1
43,0
44,1
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,1
54,1
55,1
56,1
57,1
58,0
59,1
60,0
61,0
62,1
63,1
64,0
65,1
66,0
67,1
68,0
69,0
70,0
71,1
72,0
73,1
74,0
75,0
76,0
77,0
78,0
79,1
80,0
81,0
82,0
83,0
84,1
85,1
86,0
87,0
88,0
89,1
90,0
91,0
92,0
93,1
94,0
95,0
96,0
97,1
98,1
99,1
100,1
101,0
102,0
103,1
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,1
112,0
113,0
114,0
115,0
116,0
117,0
118,1
119,1
120,0
121,1
122,0
123,1
124,1
125,1
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,1
134,1
135,1
136,1
137,1
138,1
139,0
140,1
141,0
142,0
143,0
144,0
145,1
146,1
147,0
148,0
149,1
150,1
151,1
152,1
153,0
154,0
155,0
156,1
157,0
158,0
159,0
160,0
161,0
162,1
163,0
164,0
165,0
166,0
167,1
168,1
169,1
170,0
171,1
172,0
173,0
174,0
175,1
176,0
177,0
178,1
179,1
180,0
181,0
182,1
183,0
184,1
185,0
186,1
187,0
188,1
189,0
190,0
191,1
192,1
193,0
194,1
195,1
196,1
197,0
198,0
199,0
200,1
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,1
211,0
212,1
213,0
214,1
215,0
216,1
217,0
218,1
219,1
220,1
221,0
222,1
223,0
224,0
225,1
226,0
227,1
228,0
229,1
230,0
231,1
232,0
233,1
234,0
235,1
236,0
237,1
238,1
239,1
240,1
241,0
242,0
243,1
244,0
245,0
246,1
247,0
248,1
249,1
250,1
251,0
252,0
253,1
254,0
255,1
256,0
257,1
258,1
259,1
260,1
261,0
262,0
263,1
264,1
265,0
266,1
267,0
268,0
269,1
270,1
271,1
272,0
273,1
274,1
275,0
276,1
277,1
278,1
279,0
280,1
281,0
282,0
283,0
284,0
285,1
286,0
287,0
288,0
289,1
290,0
291,1
292,1
293,1
294,0
295,0
296,1
297,0
298,1
299,1
300,1
301,0
302,0
303,0
304,1
305,0
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,0
315,1
316,0
317,1
318,1
319,1
320,1
321,0
322,0
323,1
324,1
325,0
326,1
327,0
328,1
329,0
330,1
331,0
332,1
333,1
334,0
335,1
336,0
337,1
338,1
339,0
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,0
349,0
350,0
351,0
352,1
353,0
354,0
355,0
356,0
357,1
358,1
359,0
360,0
361,0
362,1
363,0
364,0
365,0
366,0
367,1
368,0
369,0
370,1
371,1
372,0
373,0
374,1
375,0
376,1
377,0
378,1
379,0
380,0
381,1
382,0
383,0
384,1
385,0
386,1
387,0
388,1
389,0
390,1
391,1
392,0
393,0
394,1
395,0
396,0
397,0
398,1
399,1
400,1
401,0
402,0
403,0
404,0
405,0
406,1
407,0
408,1
409,0
410,0
411,0
412,0
413,1
414,1
415,0
416,0
417,1
418,1
